model,dataset,lr1,out_dim,hid_dim,pred_hid,edge_drop_rate,feat_mask_rate,val_acc
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.2,0.35333335399627686
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.2,0.30933334430058795
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.2,0.5586666862169901
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.2,0.534000019232432
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.3,0.3866666853427887
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.3,0.3880000114440918
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.3,0.5860000252723694
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.3,0.5726666847864786
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.4,0.4633333583672841
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.4,0.45200003186861676
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.4,0.6073333621025085
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.4,0.6100000341733297
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.5,0.5173333485921224
BGRL,CiteSeer,0.0005,512,1024,1024,0.0,0.5,0.5146667063236237
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.5,0.6813333630561829
BGRL,CiteSeer,0.0001,512,1024,1024,0.0,0.5,0.7066666881243387
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.0,0.4193333586057027
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.0,0.4140000144640605
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.0,0.4920000235239665
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.0,0.48733335733413696
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.1,0.318666676680247
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.1,0.32200000683466595
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.1,0.5460000236829122
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.1,0.5240000089009603
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.2,0.3446666896343231
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.2,0.34933335582415265
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.2,0.5580000082651774
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.2,0.537333349386851
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.3,0.45333335796991986
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.3,0.4166666865348816
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.3,0.5753333568572998
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.3,0.5773333708445231
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.4,0.6206666827201843
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.4,0.5973333517710367
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.4,0.6333333452542623
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.4,0.5940000414848328
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.5,0.5913333694140116
BGRL,CiteSeer,0.0005,512,1024,1024,0.1,0.5,0.6073333819707235
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.5,0.6540000438690186
BGRL,CiteSeer,0.0001,512,1024,1024,0.1,0.5,0.6920000314712524
BGRL,CiteSeer,0.0005,512,1024,1024,0.2,0.0,0.429333359003067
BGRL,CiteSeer,0.0005,512,1024,1024,0.2,0.0,0.3446666896343231
BGRL,CiteSeer,0.0001,512,1024,1024,0.2,0.0,0.4566666881243388
