model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.2,False,0.8116000354290008
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.2,False,0.7802000403404236
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.2,False,0.7894000351428986
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.2,False,0.7890000402927398
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.2,False,0.8076000392436982
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.2,False,0.8166000366210937
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.2,False,0.8128000438213349
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.3,False,0.7744000434875489
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.3,False,0.7920000314712524
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.2,0.3,False,0.7948000431060791
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.3,False,0.7996000409126282
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.3,False,0.8152000427246093
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.2,0.3,False,0.8110000371932984
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.3,False,0.7746000289916992
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.3,False,0.7938000321388244
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.2,0.3,False,0.7876000463962555
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.3,False,0.802800041437149
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.3,False,0.8164000332355499
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.2,0.3,False,0.8130000352859497
