model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.8196000456809998
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.7882000386714936
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.804200041294098
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.8226000308990479
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7772000372409821
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7900000393390656
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.8166000366210937
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.4534000217914581
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.3754000186920166
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.33580001890659333
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7808000266551971
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7718000411987305
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7448000311851501
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.0,False,0.7954000353813171
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.0,False,0.7994000375270843
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.2,0.0,False,0.7918000459671021
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.0,False,0.79000004529953
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.0,False,0.8116000413894653
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.3,0.0,False,0.8052000343799591
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.0,False,0.7884000420570374
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.0,False,0.8112000346183776
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.4,0.0,False,0.813200044631958
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.0,False,0.7844000279903411
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.0,False,0.7940000355243683
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.5,0.0,False,0.8124000430107117
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.1,False,0.7586000382900238
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.1,False,0.730400025844574
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.1,False,0.6900000274181366
CLGR,Cora,20,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.1,False,0.8004000246524811
CLGR,Cora,50,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.1,False,0.794800055027008
CLGR,Cora,100,2,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.1,False,0.7842000424861908
