model,dataset,projection,epochs,channels,lr1,lr2,wd1,wd2,edge_drop_rate,feat_mask_rate,val_acc
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.1,0.8930908838907877
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.1,0.8836363554000854
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.1,0.8802424073219299
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.1,0.8797575434048971
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.2,0.8814545273780823
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.2,0.8727272550264994
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.2,0.8848484754562378
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.2,0.8807272513707479
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.3,0.8809696833292643
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.3,0.8884848157564799
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.3,0.8877575596173605
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.3,0.8850909074147543
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.4,0.8821818033854166
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.4,0.8814545273780823
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.4,0.8756363391876221
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.4,0.8836363554000854
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.4,0.5,0.880242387453715
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.4,0.5,0.8855757315953573
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.4,0.5,0.8787878751754761
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.4,0.5,0.8681212067604065
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.5,0.0,0.8863030076026917
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.5,0.0,0.8848484555880228
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.5,0.0,0.8812120954195658
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.5,0.0,0.8984242081642151
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.5,0.1,0.8877575596173605
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.5,0.1,0.8926060199737549
GRACE,Computers,standard,1500,128,0.001,0.01,0.0,0.0001,0.5,0.1,0.8763636151949564
GRACE,Computers,standard,1500,128,0.001,0.01,1e-05,0.0001,0.5,0.1,0.8904242118199667
GRACE,Computers,standard,1500,128,0.01,0.01,0.0,0.0001,0.5,0.2,0.8802424073219299
GRACE,Computers,standard,1500,128,0.01,0.01,1e-05,0.0001,0.5,0.2,0.8744242389996847
