model,dataset,projection,epochs,channels,lr1,lr2,wd2,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.1,True,0.9312602480252584
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.1,False,0.9170758326848348
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.2,True,0.9343517422676086
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.2,False,0.9221676786740621
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.2,True,0.9405346512794495
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.2,False,0.9143480857213339
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.2,True,0.9328969120979309
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.2,False,0.9258047143618265
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.3,True,0.9414439002672831
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.3,False,0.9236224889755249
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.3,True,0.9358065327008566
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.3,False,0.9274413784344991
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.3,True,0.9358065327008566
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.3,False,0.9261684020360311
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.4,True,0.9350791176160177
GRACE,CS,nonlinear-hid,1000,256,0.0005,0.01,0.0001,0.3,0.4,False,0.9283506274223328
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.4,True,0.9403528173764547
GRACE,CS,nonlinear,1000,256,0.0005,0.01,0.0001,0.3,0.4,False,0.9214402834574381
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.4,True,0.936170240243276
GRACE,CS,linear,1000,256,0.0005,0.01,0.0001,0.3,0.4,False,0.9278050661087036
